stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
15	mimmi_ch	mimmi_ch_FL_0_016	0.225	0.061	18.704	0.288	0.076	0.148	0.488	0.324	0.34	45.995	22.416	23.579	0.016
16	mimmi_ch	mimmi_ch_FL_0_017	0.225	0.061	18.704	0.289	0.077	0.147	0.488	0.324	0.341	45.995	22.641	23.354	0.017
17	mimmi_ch	mimmi_ch_FL_0_017	0.225	0.061	18.704	0.291	0.078	0.146	0.488	0.324	0.342	45.995	22.865	23.13	0.017
18	mimmi_ch	mimmi_ch_FL_0_018	0.225	0.061	18.704	0.292	0.079	0.145	0.488	0.324	0.343	45.995	23.088	22.907	0.018
19	mimmi_ch	mimmi_ch_FL_0_019	0.225	0.061	18.704	0.294	0.08	0.144	0.488	0.324	0.344	45.995	23.31	22.685	0.019
20	mimmi_ch	mimmi_ch_FL_0_020	0.225	0.061	18.704	0.295	0.081	0.143	0.488	0.324	0.345	45.995	23.53	22.465	0.02
21	mimmi_ch	mimmi_ch_FL_0_021	0.225	0.061	18.704	0.297	0.082	0.142	0.488	0.324	0.346	45.995	23.749	22.246	0.021
22	mimmi_ch	mimmi_ch_FL_0_022	0.225	0.061	18.704	0.298	0.083	0.141	0.488	0.324	0.347	45.995	23.967	22.028	0.022
23	mimmi_ch	mimmi_ch_FL_0_023	0.225	0.061	18.704	0.299	0.084	0.14	0.488	0.324	0.348	45.995	24.183	21.812	0.023
24	mimmi_ch	mimmi_ch_FL_0_024	0.225	0.061	18.704	0.301	0.085	0.139	0.488	0.324	0.349	45.995	24.398	21.597	0.024
25	mimmi_ch	mimmi_ch_FL_0_025	0.225	0.061	18.704	0.302	0.086	0.138	0.488	0.324	0.35	45.995	24.612	21.383	0.025
26	mimmi_ch	mimmi_ch_FL_0_026	0.225	0.061	18.704	0.304	0.087	0.137	0.488	0.324	0.351	45.995	24.825	21.17	0.026
27	mimmi_ch	mimmi_ch_FL_0_027	0.225	0.061	18.704	0.306	0.088	0.136	0.488	0.324	0.352	45.995	25.037	20.958	0.027
28	mimmi_ch	mimmi_ch_FL_0_028	0.225	0.061	18.704	0.307	0.089	0.135	0.488	0.324	0.353	45.995	25.247	20.748	0.028
29	mimmi_ch	mimmi_ch_FL_0_029	0.225	0.061	18.704	0.309	0.09	0.135	0.488	0.324	0.354	45.995	25.456	20.539	0.029
30	mimmi_ch	mimmi_ch_FL_0_030	0.225	0.061	18.704	0.31	0.091	0.134	0.488	0.324	0.355	45.995	25.665	20.331	0.03
31	mimmi_ch	mimmi_ch_FL_0_031	0.225	0.061	18.704	0.312	0.092	0.133	0.488	0.324	0.356	45.995	25.871	20.124	0.031
32	mimmi_ch	mimmi_ch_FL_0_032	0.225	0.061	18.704	0.313	0.093	0.132	0.488	0.324	0.357	45.995	26.077	19.918	0.032
33	mimmi_ch	mimmi_ch_FL_0_033	0.225	0.061	18.704	0.315	0.094	0.131	0.488	0.324	0.358	45.995	26.282	19.713	0.033
34	mimmi_ch	mimmi_ch_FL_0_034	0.225	0.061	18.704	0.317	0.095	0.13	0.488	0.324	0.359	45.995	26.485	19.51	0.034
